,Title,Images,Summary,Aurthor,Category,ID
106,South Carolina Impressions (Impressions (Farcountry Press)),http://ecx.images-amazon.com/images/I/61BD9PCHPFL.jpg,"These two resident photographers have traveled to every corner of The Palmetto State to capture its unique culture and beauty. Images include the intercoastal waterway, Parris Island, Hilton Head, Raven Cliff Falls, the Spoleto Festival, Grove Plantation, barrier islands, Charleston, Clemson University, Congaree National Park, and so much more!",photography by Ron Anderson,Travel,1560373431
107,Interventional Radiology (RadCases),http://ecx.images-amazon.com/images/I/51nn2mrbs0L.jpg," Cardiac Imaging, Interventional Radiology, Musculoskeletal Radiology, Neuro Imaging, Thoracic Imaging, Pediatric Imaging, Gastrointestinal Imaging, Breast Imaging, Nuclear Medicine, Ultrasound Imaging, Head and Neck Imaging, Genitourinary Imaging   Each RadCases title features 100 carefully selected, must-know cases documented with clear, high-quality radiographs. The organization provides maximum ease of use for self-assessment.   Each case begins with the clinical presentation on the right-hand page; simply turn the page for imaging findings, differential diagnoses, the definitive diagnosis, essential facts, and more.   Each RadCases title includes a scratch-off code that allows 12 months of access to a searchable online database of all 100 cases from the book plus an additional 150 cases in that book's specialty - 250 cases in total!    Learn your cases, diagnose with confidence and pass your exams. RadCases.      Interventional Radiology   will enable you to diagnose the full range of vascular and nonvascular cases.    Features of  Interventional Radiology :      Numerous high-resolution 3-D radiographs demonstrating the mechanics of the vascular system   A variety of common and uncommon presentations covering everything from acute lower gastrointestinal bleeding to superficial femoral artery stenosis   Examples of critical cases that must be diagnosed immediately - to avert potential disaster in daily practice and on exams - such as traumatic injury of the aorta   ",Hector Ferral,Medical Books,1604061774
108,The 50th Law,http://ecx.images-amazon.com/images/I/41qMD5iI6fL.jpg," In  The 50th Law,  hip hop and pop culture icon 50 Cent (aka Curtis Jackson) joins forces with Robert Greene, bestselling author of  The 48 Laws of Power,  to write a  bible  for success in life and work based on a single principle: fear nothing. With stories from 50 Cent's life on the streets and in the boardroom as he rose to fame after the release of his album  Get Rich or Die Tryin  , as well as examples of others who have overcome adversity through understanding and practicing the 50th Law, this deeply inspirational book is perfect for entrepreneurs as well as anyone interested in the extraordinary life of Curtis Jackson. ",50 Cent,Humor & Entertainment,006177460X
109,"The Church of Scientology (Studies in Contemporary Religions, series volume 1)",http://ecx.images-amazon.com/images/I/51kzqiUi-jL.jpg,"  L. Ron Hubbard best-selling science fiction writer, former naval officer, and people s philosopher did not initially intend to found a new religion. But neither did he object when followers organized a church based on his teachings. The resulting movement has attracted millions of adherents from around the globe. Much of Scientology applies common sense solutions to life s perplexities. If a church should be judged according to its good works, then Scientology receives high marks for its addiction treatment, literacy, and civil rights programs. But there is more, including mysticism, mythology, some secrecy, and a healthy dose of what might be termed eccentricity. Some observers wonder how a church that promotes mental and emotional well being, which it does, can itself at times appear to be paranoid or dysfunctional? Dr. Melton explores these questions and the major aspects of the church s hierarchical structure and theology, showing, among other things, that the study of religion is seldom dull. ",J. Gordon Melton,Religion & Spirituality,1560851392
110,Gifted With ADD,http://ecx.images-amazon.com/images/I/41J31CtyyML.jpg," What if people saw ADD as a superpower instead of a disease?  Gifted With ADD provides helpful information to parents raising children whose brains work at the speed of light. How can you best harness this gift and help your child grow up to be a healthy, successful adult without the ""handicapped"" stigma attached? How can you help your child use the power they've been given?",RaeLyn Murphy,Parenting & Relationships,1466392851
111,A Splendid Isolation: Lessons on Happiness from the Kingdom of Bhutan,http://ecx.images-amazon.com/images/I/41AD5FPqjEL.jpg,"What does Bhutan understand about happiness that the rest of the world does not? Award-winning journalist and author Madeline Drexler recently traveled to this Himalayan nation to discover how the audacious policy known as Gross National Happiness plays out in a fast-changing society where Buddhism is deeply rooted--but where the temptations and collateral damage of materialism are rising. Her reported essay blends lyrical travelogue, cultural history, personal insights, and provocative conversations with top policymakers, activists, bloggers, writers, artists, scholars, religious leaders, students, and ordinary citizens in many walks of life. This book is sure to fascinate readers interested in travel, Buddhism, progressive politics, and especially the study and practice of happiness. A Splendid Isolation was a Finalist in the 2015 Next Generation Indie Book Awards.",Madeline Drexler,Travel,1499362641
112,Diary of a Mad Playwright: Perilous Adventures on the Road with Mary Martin and Carol Channing (Applause Books),http://ecx.images-amazon.com/images/I/51MEQBQmzfL.jpg,"(Applause Books). Kirkwood, the co-writer of the book of the great musical A Chorus Line , also wrote the stage play Legends , for which Carol Channing and Mary Martin embarked on a nationwide, bound-for-Broadway tour. This book chronicles the slow disintigration of the whole project, thanks to bickering divas, greedy producers, hostile reviewers, and general chaos. Kirkwood's fine eye for detail and general good humor keep this book lighhearted and funny, even as sadness lingers in the wings. A wonderful book for anyone who loves the theatre.",James Kirkwood,Biographies & Memoirs,1557835675
113,Orthodontically Driven Corticotomy: Tissue Engineering to Enhance Orthodontic and Multidisciplinary Treatment,http://ecx.images-amazon.com/images/I/51uPLBk-bML.jpg," The first book of its kind,  Orthodontically Driven Corticotomy  describes how to apply this innovative technique to orthodontic treatment protocols. More than simply discussing orthodontic applications, the editors demonstrate how corticotomies enhance inter- and multidisciplinary treatments. Different surgical approaches are described, with indications on how to select the most appropriate one, to increase efficiency of orthodontic movement, and minimize the surgical exposure for the patient at the same time. Readers learn how to apply the technique to expand the basal bone, regenerate periodontal tissues, combine corticotomy and anchorage devices, manage partial edentulism, treat impacted teeth, and become more efficient in orthodontic treatment. Surgical steps are demonstrated with more than 650 clinical photographs and 200 illustrations. ",,Medical Books,1118486870
114,2016 Hunter & Jumper Wall Calendar,http://ecx.images-amazon.com/images/I/61Uu4EbALvL.jpg,"Twelve bright and exciting photographs capture all the power, energy and athleticism of hunters and jumpers. The fullcolor, large format wall calendar features daily grids with ample room for jotting appointments, birthdays, events and reminders. Also includes six bonus months of July through December 2015; moon phases; U.S. and international holidays.",Willow Creek Press,Calendars,1623437245
115,Shakin' the Mess Outta Misery,http://ecx.images-amazon.com/images/I/51DtPTv0etL.jpg,"Shakin' the Mess Outta Misery is the story of a young black girl's coming of age in the South in the 1960s. Daughter, the main character and 25-year-old narrator whose mother died when she was very young, was raised by women in the community, some blood related, some not. When she was 12 years old she began her journey to womanhood guided by these very diverse, non-traditional, older black women. Daughter begins the play as an adult reflecting on the summer of her 12th year in the now empty house of her childhood. She shares with the audience how her Big Mamas prepared her for womanhood. As she remembers, the women enter to tell their stories and Daughter becomes a child again reliving her vivid memories of growing up--recalling the rituals, the faith healings, the stories she was told and the lessons she learned about survival, healing, deep faith and mystery. The Washington Post said Shakin' the Mess Outta Misery ""...is a vivid portrait of the members of a tight knit community of African American women...heartfelt and definitely a memory play, but it goes about its business in unpredictable and emotionally satisfying ways...First and foremost is Youngblood's evocative language, which blends the poetic and the everyday into a potent stew of exclamations and descriptions, oaths and jive...Some [scenes] are funny, some melancholy, some deadly serious, but all burst with detail, eccentricity and truth.""",Shay Youngblood,Literature & Fiction,1482639629
116,"Guess Again!: 1,001 Rib-Tickling Riddles from Highlights (Laugh Attack!)",http://ecx.images-amazon.com/images/I/51CwIue2LBL.jpg," This collection of time-tested riddles and knock-knock jokes from Highlights will trigger a laugh attack every time kids open them, and hilarious illustrations by Kevin Rechin add to the fun. Kids love jokes, and this is a great joke book for kids ages six and up! This book will give kids a great way to entertain themselves and others while helping them develop an understanding of humor, which is an important social developmental skill. The first book in the Laugh Attack series, this book is sure to be a delight. With a wealth of jokes and riddles, these joke books are perfect for sharing laughs with family and friends. From animal jokes to number jokes, more than 1,000 rib-tickling riddles will keep kids laughing for hours. All jokes are age-appropriate, wholesome, and great for kids to share with family, friends and anyone who needs a laugh!  What is the capital of Alaska?  Come on- Juneau know this one!   What grew from the plant in the math room?  Square roots.   Who is the best dancer at a Halloween party?  The boogieman.   Why did Dracula go to the doctor?  He was coffin.   How does the man on the moon get a haircut?  Eclipse it.   If you think these jokes are funny, you ll love the Laugh Attack! series! ",Highlights for Children,Children's Books,1590789199
117,Gun Digest Book of SIG-Sauer,http://ecx.images-amazon.com/images/I/51V1JB2C9fL.jpg,"  Finally! A book that covers Sig handguns in exhaustive detail!  In  Gun Digest Book of Sig Sauer, 2nd Edition , pre-eminent fighting handgun trainer Massad Ayoob takes an in-depth look at some of the finest pistols on the market. In this revised 2nd Edition:  First-hand Sig handgun reviews evaluate handling characteristics, design and performance  Insider reviews explain Sig developments over the past 10 years  The most popular new models  Revisions to explain significant changes to existing models  If you own a Sig pistol, have considered buying one or just appreciate the quality of these fine concealed carry and home defense handguns, this is the book for you!",Massad Ayoob,Reference,1440239142
118,"Taxidermy Art: A Rogue's Guide to the Work, the Culture, and How to Do It Yourself",http://ecx.images-amazon.com/images/I/517VtZE8s7L.jpg,"  In this collection of taxidermy art, you’ll find a winged monkey with a fez and a martini glass, a jewel-encrusted piglet, a bionic fawn, and a polar bear balancing on a floating refrigerator. Author Robert Marbury makes for a friendly (and often funny) guide, addressing the three big questions people have about taxidermy art:  What is it all about? Can I see some examples?  and  How can I make my own?  He takes readers through a brief history of taxidermy (and what sets artistic taxidermy apart) and presents stunning pieces from the most influential artists in the field. Rounding out the book are illustrated how-to lessons to get readers started on their own work, with sources for taxidermy materials and resources for the budding taxidermist. ",Robert Marbury,Humor & Entertainment,1579655580
119,Wedding Planner: The Ultimate Organizer for the Blushing Bride,http://ecx.images-amazon.com/images/I/51LMOtXbbTL.jpg,"The Benefits of a Wedding Planning Book A wedding can be one of the happiest events in a person's life; but, it can also be one of the most hectic times. There are so many different aspects in a ceremony and reception that weddings can be frustrating to even think about. Taking the time to plan everything out can help. The benefits of a wedding planning book are worth it. Brides can use a wedding planning book to organize every portion of their big day. Having every detail in one place will keep brides from forgetting small things. Wedding planning books allow brides to sort everything from transportation, wedding favors, flower arrangements, to wedding venues. Using a planning book can even help keep track of wedding expenses and related appointments.",Speedy Publishing LLC,"Crafts, Hobbies & Home",1630226432
120,"Yes, You Can Get Pregnant: Natural Ways to Improve Your Fertility Now and into Your 40s",http://ecx.images-amazon.com/images/I/41ujfGcSa-L.jpg," The complete guide to getting pregnant and improving fertility naturally √õ even if you√åve been told your chances of conception are low   Worried about your ability to have children in the next five years? Have you been trying to get pregnant for a while now and it√ås just not happening? Does it seem like every woman you know is having a hard time getting pregnant and you don√åt want that to be you when you√åre ready? Do you want natural, non-invasive options to conceive?   If you answered √èyes√ì to any one of these questions,  Yes, You Can Get Pregnant  is for you. A nationally renowned women√ås health and fertility expert, Aimee Raupp has helped hundreds of women optimize their fertility and get pregnant, even after age 40. Here, she provides her complete program for improving your chances of conceiving and overcoming infertility, including the most effective complementary and lifestyle approaches and the latest nutritional advice. Her remedies help you how to get in tune with your body, eat the best fertility-enhancing foods, and avoid environmental toxins to achieve a healthy and stress-free pregnancy.   In a friendly, understanding, and inspirational manner,  Yes, You Can Get Pregnant  provides hope, scientifically-backed knowledge, and emotional support to help you become the mother you want to be.  """,Aimee Raupp MS  LAc,Parenting & Relationships,1936303698
121,Insolvency and Restructuring Manual: Second Edition,http://ecx.images-amazon.com/images/I/41DPG9DvskL.jpg,"This is a practical, user-friendly, and comprehensive guide to corporate insolvency and restructuring in the UK. The book explains the principles and procedures involved, taking the reader through the UK's various formal insolvency processes they might encounter, including liquidations, compulsory liquidations, receiverships, administrations, company voluntary arrangements (CVAs), and schemes of arrangement. To emphasize the practical nature of the approach, the book offers quick summaries, flow charts of insolvency processes, and tables comparing procedures and remedies. It also contains separate chapters covering company law issues (e.g. the position of the director), the role of creditors, and cross-border considerations. This second edition has been updated to include new UK case law, some with far reaching implications.",Simon Beale,Law,1780431988
122,To Timbuktu: A Journey Down the Niger,http://ecx.images-amazon.com/images/I/41OCUGLf4TL.jpg," For nearly eight years as the monthly columnist for  Outside  magazine, and in his award-winning books, Mark Jenkins has held fans spellbound with his riveting accounts of expeditions to remote parts of the globe. In  To Timbuktu , he sets out with three friends to attempt their first descent of the Niger River, hoping to reach the legendary city of Timbuktu. Along the way they are attacked by killer bees, charged by hippos, and stalked by crocodiles. They stumble upon a group of completely blind men living alone in the bush and dance with a hundred naked women. That Jenkins finally reaches his goal―riding alone across the Sahara on a motorcycle―stands in sharp contrast to what befell earlier explorers who tried to find Timbuktu and whose fates the author interweaves with the narrative of his own journey.   A rich combination of cultural exploration, history, and gripping adventure, this beautifully repackaged edition of  To Timbuktu  is a journey not to be missed. ",Mark Jenkins,Travel,1594867658
123,Sitting Bull: His Life and Legacy,http://ecx.images-amazon.com/images/I/51wSyMlwaIL.jpg,"  The only book on Sitting Bull written by a lineal descendant     Ernie LaPointe is the great -grandson of the famous Hunkpapa Lakota chief, and he presents the family tales and memories told to him about his great-grandfather. In many ways the oral history differs from what has become the standard and widely accepted biography of Sitting Bull. LaPointe explains the discrepancies, how they occurred, and why he wants to tell his story of Tatanka Iyotake.    Ernie LaPointe, a great-grandson of Sitting Bull, was born on the Pine Ridge Indian Reservation in South Dakota. He is a Sundancer and lives the traditional way of the Lakota and follows the rules of the sacred pipe. He lives in South Dakota. ",Ernie LaPointe,Biographies & Memoirs,142360556X
124,A Code of Jewish Ethics: Volume 1: You Shall Be Holy,http://ecx.images-amazon.com/images/I/51JYXXCVPQL.jpg," A Code of Jewish Ethics, Volume 1: You Shall Be Holy  is the initial volume of the first major code of Jewish ethics to be written in the English language. It is a monumental work on the vital topic of personal character and integrity by one of the premier Jewish scholars and thinkers of our time.  With the stated purpose of restoring ethics to its central role in Judaism, Rabbi Joseph Telushkin offers hundreds of examples from the Torah, the Talmud, rabbinic commentaries, and contemporary stories to illustrate how ethical teachings can affect our daily behavior. The subjects dealt with are ones we all encounter. They include judging other people fairly; knowing when forgiveness is obligatory, optional, or forbidden; balancing humility and self-esteem; avoiding speech that shames others; restraining our impulses of envy, hatred, and revenge; valuing truth but knowing when lying is permitted; understanding why God is the ultimate basis of morality; and appreciating the great benefits of Torah study. Telushkin has arranged the book in the traditional style of Jewish codes, with topical chapters and numbered paragraphs. Statements of law are almost invariably followed by anecdotes illustrating how these principles have been, or can be, practiced in daily life. The book can be read straight through to provide a solid grounding in Jewish values, consulted as a reference when facing ethical dilemmas, or studied in a group.  Vast in scope, this volume distills more than three thousand years of Jewish laws and suggestions on how to improve one s character and become more honest, decent, and just. It is a landmark work of scholarship that is sure to influence the lives of Jews for generations to come, rich with questions to ponder and discuss, but primarily a book to live by.",Rabbi Joseph Telushkin,Religion & Spirituality,1400048354
125,Modern DIY Upholstery: Step-by-Step Upholstery and Reupholstery Projects for Beginners and Beyond,http://ecx.images-amazon.com/images/I/51bYPSUvUeL.jpg,"   Modern DIY Upholstery  shows the hobby sewer or complete newcomer how to make the leap into home upholstery taking you gently by the hand, demonstrating the simple techniques you need to bring your love of fabric to upholstered items for the home.  Not a dry, highly technical professional upholstery manual, this bright and accessible book presents 10 simple projects using modern methods that are quick and easy to achieve.  You will be taken step-by-step through the process of upholstery of desirable pieces of furniture – using items found at antique markets, street sales and thrift stores that are designed up and given a modern twist.  You will then learn all about fabric choice and other materials, discover the essential techniques and then embark on the projects which include a simple stool, a vintage sewing box, a blanket box or ottoman, a fluted headboard, a Danish dining chair, a bedroom/nursing chair, a patchwork armchair and a mid-century design two-seater sofa, all guided by the author's expert instruction.  QR codes will take you to time-lapse videos of the construction of each project – the only book to attempt such a feat! ",Vicky Grubb,"Crafts, Hobbies & Home",1446306054
126,The Chicken Qabalah of Rabbi Lamed Ben Clifford: Dilettante's Guide to What You Do and Do Not Need to Know to Become a Qabalist,http://ecx.images-amazon.com/images/I/41iiBZyV8ML.jpg,"A unique and humorous -- and also practical -- approach to the increasingly popular study of Qabalah. This is a seriously funny book! Traditional Qabalistic (or Cabalistic, or, indeed, Kabbalistic -- read this book to find out what the difference is...we know you've always wondered) sources tend to be a bit, er, dry. DuQuette spices up the Qabalah and makes it come alive, restoring the joy of learning the fundamentals of this admittedly arcane system by using simple, amusing anecdotes and metaphors. This account, written psuedepigraphically (fictitiously attributed to a supposed authority), allows DuQuette as Rabbi Lamed Ben Clifford to soar to outrageous heights and, when necessary, stand apart from the silliness to highlight the golden eggs of Qabalistic wisdom nested therein. Sure to be a revelation to those who think that learning about the Qabalah needs to be tedious and serious, DuQuette shows that great truths can be transmitted through the medium of laughter. * A Dilettante's Guide to What You Do and Do Not Need to Know to Become a Qabalist .",Lon Milo Duquette,Religion & Spirituality,1578632153
127,Batman: The Man Who Laughs,http://ecx.images-amazon.com/images/I/6167%2BTkedBL.jpg,"Witness Batman's first encounter with The Joker in this volume collecting the graphic novel BATMAN: THE MAN WHO LAUGHS, by Ed Brubaker and Doug Mahnke! This collection also includes DETECTIVE COMICS #784-786, a murder mystery tale guest-starring Green Lantern Alan Scott.",Ed Brubaker,Comics & Graphic Novels,1401216269
128,Sitting Bull: The Life and Times of an American Patriot,http://ecx.images-amazon.com/images/I/51uZ0jfakZL.jpg,"  The definitive, award–winning biography of the legendary chief and his dramatic role in the history of westward expansion   Reviled by the United States government as a troublemaker and a coward, revered by his people as a great warrior chief, Sitting Bull has long been one of the most fascinating and misunderstood figures in American history. Distinguished historian Robert M. Utley has forged a compelling portrait of Sitting Bull, presenting the Lakota perspective for the first time and rendering the most unbiased, historically accurate, and vivid portrait of the man to date.  The Sitting Bull who emerges in this fast-paced narrative is a complex, towering figure: a great warrior whose skill and bravery in battle were unparalleled; the spiritual leader of his people; a dignified but ultimately tragically stubborn defender of the traditional ways against the steadfast and unwelcome encroachment of the white man. ",Robert M. Utley,Biographies & Memoirs,080508830X
129,Walk Off Weight: Burn 3 Times More Fat with This Proven Program,http://ecx.images-amazon.com/images/I/51vzdHDOP3L.jpg,"Walking is America's #1 form of exercise and with good reason. It's easy, cheap, and can be done anywhere. Now, Prevention magazine takes fun, low-impact walking to the next level with a new 8-week program that will help you lose 3 times more weight and keep it off. Designed by certified fitness trainer Michele Stanten, the program jump-starts weight loss with core and lowerbody strength exercises as well as special walking routines, including interval walks, which research shows burn calories twice as fast as regular walking. Women who tried the program for 8 weeks: - lost up to 222/3 pounds and 123 4 inches - lowered their blood pressure and blood glucose levels - had less back and joint pain - improved their posture, balance, flexibility, and boosted their energy  Paired with a delicious, well-balanced meal plan and easy strength-training exercises, Walk Off Weight also helps you pick out the perfect walking sneakers and gives you technique tips to increase your speed and avoid soreness or injury.",Michele Stanten,"Health, Fitness & Dieting",1605295639
130,The Connoisseurs Book of Japanese Swords,http://ecx.images-amazon.com/images/I/51l38qFQKML.jpg,"Recently Japanese swords have gained enormous popularity as art objects with collectors and enthusiasts around the world, but until now much of the most detailed information on the subject has been available only in Japanese. This comprehensive guide to the appreciation and appraisal of the blades of Japanese swords provides, at last, all the background that readers need to become true connoisseurs.  The book is organized along historical lines for the sake of clarity and convenience, and its approach is always practical. Broad discussions of each tradition within the Gokaden focus on the features that distinguish specific schools and smiths-the various kinds of jihada, hamon, boshi, and hataraki favored in different periods and regions-making this an invaluable reference tool for all enthusiasts, especially those who wish to take part in kantei-kai, or sword appreciation meetings. Each section closes with an easy reference chart summarizing the distinctive features of the work of various schools and smiths.  The chapter on terminology gives advice on what to look for when examining the different parts of a blade, again making reference to the unique features of particularly significant smiths. The chapter on care and appraisal of blades tells precisely how to handle blades and what to expect at a sword appraisal meeting, including an explanation of all the various responses that a judge may give in response to a bid.  Richly illustrated throughout with more than 550 of the author's own painstaking oshigata illustrations-sword tracings onto which details are penciled in by hand- The Connoisseur's Book of Japanese Swords  is easily the most informative and comprehensive guide to the blades of Japanese swords ever to appear in English.  Kokan Nagayama, who is widely recognized as one of the foremost living sword polishers, compiled the notes for this book over the course of many years spent teaching the arts of polishing and appraisal.  Nagayama-sensei is widely recognized as one of the foremost living sword polishers and is a veteran teacher of both polishing and appraisal. Here in one accessible volume he distills the store of knowledge he has gained over a lifetime of intensive research.  ""Nagayama-sensei and his senior pupils have for many years now taken an enlightened approach to study of Japanese swords outside of Japan. They have been of great assistance to collectors here in Great Britain and in other countries, traveling and living abroad, organizing exhibitions, teaching us and polishing our swords, always in an altruistic spirit. This translation is another example of this same approach. In the past we have often struggled on our own or in small groups to gain an understanding of this peculiarly Japanese cultural asset, and with many of the definitive books on the subject still untranslated, a wealth of information has in the past been inaccessible to the non-Japanese reader. The Connoisseur's Book of Japanese Swords will be of great help in making educated judgments at kantei sessions, and will be an invaluable and constant reference work."" -From the Foreword by Clive Sinclaire Chairman of the Token Society of Great Britain",Kokan Nagayama,"Crafts, Hobbies & Home",4770020716
131,Batter Up!: You Can Play Softball (Game Day),http://ecx.images-amazon.com/images/I/617NMVZ9PDL.jpg,Provides a brief introduction to the game of softball as intended to be played by children. Includes a diagram of a softball field.,Nick Fauchald,Sports & Outdoors,1404811524
132,US Citizenship (U.S. Citizenship: A Step-By-Step Guide),http://ecx.images-amazon.com/images/I/51eIeZsNDIL.jpg,"In clear and simple language, this test-prep guide explains all the eligibility requirements for citizenship; how and where to apply; how to gain the confidence and knowledge needed to pass the interview and oral exam; offers essential practice with the sample INS questions and a U.S. civics review; and presents true-life stories of people who have recently become citizens. U.S. Citizenship: A Step-by-Step Guide also contains advice on special situations, lists of resources that will help candidates become citizens, and sample forms to help them prepare their applications.",LearningExpress Editors,Test Preparation,1576855775
133,"Creative Surface Design: Painting, Stamping, Stenciling, and Embossing Fabric & More",http://ecx.images-amazon.com/images/I/517Yy0FqFcL.jpg,"There are many wonderful and creative ways to decorate custom garments and home accessories, and this book features four of the most popular: stenciling, stamping, painting and embossing. The techniques are spelled out in detail, with step-by-step instructions.",Sandy Scrivano,"Crafts, Hobbies & Home",156158486X
134,Creative Bookbinding,http://ecx.images-amazon.com/images/I/51mFGU13pBL.jpg,"  ""Unusually well done and informative.""    Lafayette  (Indiana)  Journal   Courier  A book bound by hand can be a work of art in a way that machine-bound books can never be. And in this comprehensive, profusely illustrated guide to hand bookbinding, a noted expert in the field explains the techniques needed to create your own choice specimens of the binder's art. Directed especially toward beginners,  Creative Bookbinding  shows how this ancient craft offers a satisfying hobby and rewarding aesthetic experience   even for those with little previous knowledge of the craft. As Pauline Johnson states in the Preface: ""Even with a limited background of knowledge [the craftsperson] can experience a great deal of enjoyment in binding his own books and building up a distinctive personal library of which he can be proud. Each product can be an artistic creation to be cherished."" Detailed illustrated instructions for achieving such beautiful hand-crafted volumes are presented here in a readable, informal, and easy-to-follow format. After a brief history of printing and binding, the author provides an in-depth discussion of book design   the proportion and size of books, the parts of a book, materials, tools, and equipment needed for book construction ( a list of supply sources is included), and more. Working procedures are clearly explained, progressing from binding simple folders, notepads, folios, pamphlets, and magazines to full-size sewn books with bindings of cloth and leather. You'll also find an indispensable chapter on the preservation and repair of valuable or irreplaceable volumes. Over 600 photographs and diagrams explain and clarify each step of each process, as well as depicting an abundance of beautiful bindings, both ancient and modern. With this book as a guide, bookbinders at all skill levels can strive to achieve similar magnificent results. ",Pauline Johnson,"Crafts, Hobbies & Home",048626307X
135,A Bend in the Nile: My Life in Nubia and Other Places (Sandstone Press Non-Fiction),http://ecx.images-amazon.com/images/I/51G7%2B3iHGKL.jpg,"In this absorbing account Chris McIvor discovers Africa, finds love - and loses it - travels through the desert, along the Nile, and finally visits the war-locked region of Chad. Often in danger, and reliant on the kindness of strangers, he comes to love the wide territory known as Nubia and takes the first steps of his life's work in overseas aid.",Chris McIvor,Travel,1905207255
136,How to Open & Operate a Financially Successful Small Farm: With Companion CD-ROM (Back-To-Basics) (How to Open and Operate a Financially Successful...),http://ecx.images-amazon.com/images/I/51bj1iFuD%2BL.jpg,"  Throughout the latter half of the 20th century, the number of small farms operating in the United States dropped by more than 75 percent. Recently, there has been a major resurgence in family operated, outdoor businesses, and they have the potential to become financially viable again. The world of small farm businesses is being bolstered by a surge in interest by health conscious individuals looking for organic, locally grown products. This, along with growing food needs in developed and developing countries, makes your potential business very viable. However, knowing how to develop that business effectively can be very hard. This book was written for people just like you: farmers who are looking to start their own small farm business.     Begin by understanding what the basics of a small farm entail:     What you will need     How your life will change    What you can expect from the government and your neighbors     The realitiea of living with plants and livestock     How to create a farm plan evaluating resources before making any decisions     The best resources for finding help.         The nature of the soil, working in the soil, and the essence of crop rotation are outlined in detail to help you make more targeted decisions with your crops. You will also learn how to use green manure and cover crops to protect your plants and the environment at the same time.     For this book, dozens of farmers were interviewed from throughout the nation, each of them providing their years of expertise and insight for you to make better decisions about your own new farm business. You will learn the basics of nitrogen and legumes, livestock feeding, and weatherproofing along with planning your business and marketing your goods and services. You will learn how to set new goals and grow your business as well as how to identify your target market and to market within a given niche instead of trying to reach too broad of an audience. You will learn the basics of selling farm products and finally how to manage a farm, including the necessary information you need to hire employees, maintain machinery, and keep your farm up to date with new technology.     Buy this book and start your small farm today.  ",Julie Fryer,Law,1601383304
137,The Atlantic Wall (3): The SÃ¼dwall (Fortress),http://ecx.images-amazon.com/images/I/51JOAAEKw8L.jpg,"Following on from two previous volumes covering the Atlantic Wall, this book completes the story of one of the most formidable defensive lines in Europe in World War II, looking at the lesser known Mediterranean extension and describing how it was conceived of, built and used. After the alarming collapse of Italy in 1943, the Germans launched a crash building program and the 'Sudwall,' (South Wall) sprang up quickly along the French Mediterranean coast and the neighbouring Italian coast around Genoa. The new defences were bolstered by existing French fortifications of key port towns such as Marseilles and Toulon - many of them bristling with heavy artillery. Whilst describing the wall's physical design features, this book also recounts the defences' role in the Allied invasion of Southern France; Operation Dragoon - 'The Second D-Day'. As the Germans' worst fears became a reality, the southern Atlantic Wall would face its ultimate test.",Steven J. Zaloga,History,1472811461
138,"Southwest Fruit & Vegetable Gardening: Plant, Grow, and Harvest the Best Edibles - Arizona, Nevada & New Mexico (Fruit & Vegetable Gardening Guides)",http://ecx.images-amazon.com/images/I/51zb7oLH6qL.jpg,"   Master the art of edible gardening in the beautiful southwestern United States.  Southwest Fruit & Vegetable Gardening  is written exclusively for gardeners who want to grow edibles in Arizona, New Mexico, or Nevada. Author  Jacqueline Soule  shares her bountiful knowledge of edibles in general and the Southwest region in particular, equipping you with all the information you need to design your edible garden, tend the soil, maintain your plants throughout their life cycles, and--most importantly--harvest the delicious foods they produce. So whether you live in the Tucson suburbs, the New Mexico Bootheel, the Mojave Desert, or anywhere else in the southwestern tri-state area, you'll discover the best fruit and vegetable plants for your garden in this beautiful step-by-step how-to guide . . . and before you know it you'll have delicious fresh fruits and vegetables on your table. ",Jacqueline Soule,"Crafts, Hobbies & Home",1591866146
139,Sybil Exposed: The Extraordinary Story Behind the Famous Multiple Personality Case,http://ecx.images-amazon.com/images/I/51p716LAILL.jpg," Now available in paperback,  Sybil Exposed  is the  New York Times  bestselling book that offers a new perspective on the smash hit book and film,  Sybil , and on multiple personality disorder itself.    Sybil: a name that resonates with legions of obsessed fans who followed the nonfiction blockbuster from 1973. The book rocketed multiple personality disorder into public consciousness and played a major role in having the diagnosis added to the psychiatric bible,  Diagnostic and Statistical Manual of Mental Disorders . But what do we really know about how Sybil came to be? In her news-breaking book  Sybil Exposed,  journalist Debbie Nathan gives proof that the allegedly true story outlined in the megabestseller was largely fabricated. The actual identity of Sybil (Shirley Mason) has been available for some years, as has the idea that the book might have been exaggerated. But Nathan reveals the trio of women behind the legend: the willing patient, her ambitious shrink, and the imaginative journalist who spun their story into bestseller gold.    Sybil Exposed  draws from an enormous trail of papers, records, photos, and tapes to unearth the lives and passions of these three women whose story exploded into an epic movement with consequences beyond their wildest dreams. Set across the twentieth century and rooted in a time when few professional roles were available to women, this is a story of corrosive sexism, bold but unchecked ambition, runaway greed, utter human vulnerability, duplicity and shared delusion, shaky theories of psychoanalysis exuberantly and drastically practiced, and how one modest young woman s life turned psychiatry on its head and radically changed the course of therapy and our culture, as well.",Debbie Nathan,Medical Books,1439168288
